,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
574,574,1515196800,DL,DL,DL,1683,DL,N954AT,1683,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",625,619.0,-6.0,27.0,646.0,733.0,7.0,746,740.0,-6.0,0,,0,N,81.0,81.0,47.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
575,575,1548720000,DL,DL_CODESHARE,DL,4007,OO,N822SK,4007,11977,GRB,"Green Bay, WI",11433,DTW,"Detroit, MI",640,632.0,-8.0,52.0,724.0,913.0,7.0,907,920.0,13.0,0,,0,N,87.0,108.0,49.0,1,287,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
576,576,1543881600,UA,UA_CODESHARE,UA,3865,ZW,N456ZW,3865,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1520,1512.0,-8.0,12.0,1524.0,1604.0,24.0,1629,1628.0,-1.0,0,,0,N,69.0,76.0,40.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
577,577,1516147200,UA,UA_CODESHARE,UA,5350,OO,N916SW,5350,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1355,1346.0,-9.0,15.0,1401.0,1439.0,8.0,1505,1447.0,-18.0,0,,0,N,70.0,61.0,38.0,1,173,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
578,578,1576195200,DL,DL_CODESHARE,DL,3903,OO,N468CA,3903,11977,GRB,"Green Bay, WI",11433,DTW,"Detroit, MI",1030,1024.0,-6.0,12.0,1036.0,1223.0,8.0,1258,1231.0,-27.0,0,,0,N,88.0,67.0,47.0,1,287,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
579,579,1544054400,DL,DL_CODESHARE,DL,3728,OO,N809SK,3728,11977,GRB,"Green Bay, WI",11433,DTW,"Detroit, MI",1703,1652.0,-11.0,12.0,1704.0,1854.0,13.0,1928,1907.0,-21.0,0,,0,N,85.0,75.0,50.0,1,287,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
580,580,1544918400,DL,DL_CODESHARE,DL,3712,OO,N824SK,3712,11977,GRB,"Green Bay, WI",11433,DTW,"Detroit, MI",1121,1112.0,-9.0,12.0,1124.0,1309.0,15.0,1345,1324.0,-21.0,0,,0,N,84.0,72.0,45.0,1,287,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
581,581,1518998400,DL,DL_CODESHARE,DL,4288,OO,N496CA,4288,11577,ERI,"Erie, PA",11433,DTW,"Detroit, MI",1803,1807.0,4.0,36.0,1843.0,1933.0,9.0,1925,1942.0,17.0,0,,0,N,82.0,95.0,50.0,1,164,4.0,0.0,13.0,0.0,0.0,,,,,Erie,42.08202,-80.17622,cloudy
582,582,1546387200,AA,AA_CODESHARE,AA,4782,PT,N686AE,4782,11577,ERI,"Erie, PA",14100,PHL,"Philadelphia, PA",644,644.0,0.0,22.0,706.0,754.0,6.0,810,800.0,-10.0,0,,0,N,86.0,76.0,48.0,1,300,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
583,583,1548460800,UA,UA_CODESHARE,UA,3773,ZW,N452AW,3773,11577,ERI,"Erie, PA",13930,ORD,"Chicago, IL",600,559.0,-1.0,23.0,622.0,718.0,6.0,659,724.0,25.0,0,,0,N,119.0,145.0,116.0,1,398,0.0,0.0,25.0,0.0,0.0,,,,,Erie,42.08202,-80.17622,cloudy
584,584,1575331200,DL,DL_CODESHARE,DL,3629,OO,N445SW,3629,11577,ERI,"Erie, PA",11433,DTW,"Detroit, MI",1159,1152.0,-7.0,17.0,1209.0,1244.0,6.0,1313,1250.0,-23.0,0,,0,N,74.0,58.0,35.0,1,164,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
585,585,1544227200,UA,UA_CODESHARE,UA,3773,ZW,N425AW,3773,11577,ERI,"Erie, PA",13930,ORD,"Chicago, IL",600,552.0,-8.0,24.0,616.0,627.0,25.0,649,652.0,3.0,0,,0,N,109.0,120.0,71.0,1,398,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
586,586,1518652800,UA,UA_CODESHARE,UA,3773,ZW,N416AW,3773,11577,ERI,"Erie, PA",13930,ORD,"Chicago, IL",615,608.0,-7.0,15.0,623.0,641.0,16.0,705,657.0,-8.0,0,,0,N,110.0,109.0,78.0,1,398,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
587,587,1548547200,UA,UA_CODESHARE,UA,4851,ZW,N437AW,4851,11577,ERI,"Erie, PA",13930,ORD,"Chicago, IL",1745,1842.0,57.0,11.0,1853.0,1910.0,22.0,1844,1932.0,48.0,0,,0,N,119.0,110.0,77.0,1,398,0.0,0.0,5.0,0.0,43.0,,,,,Erie,42.08202,-80.17622,cloudy
588,588,1518134400,UA,UA_CODESHARE,UA,3799,ZW,N467AW,3799,11577,ERI,"Erie, PA",13930,ORD,"Chicago, IL",1745,1933.0,108.0,26.0,1959.0,2021.0,15.0,1835,2036.0,121.0,0,,0,N,110.0,123.0,82.0,1,398,0.0,0.0,121.0,0.0,0.0,,,,,Erie,42.08202,-80.17622,cloudy
589,589,1518998400,DL,DL_CODESHARE,DL,4285,OO,N463SW,4285,11577,ERI,"Erie, PA",11433,DTW,"Detroit, MI",615,605.0,-10.0,15.0,620.0,658.0,9.0,737,707.0,-30.0,0,,0,N,82.0,62.0,38.0,1,164,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
590,590,1548720000,AA,AA_CODESHARE,AA,4872,PT,N659AE,4872,11577,ERI,"Erie, PA",14100,PHL,"Philadelphia, PA",1802,1750.0,-12.0,9.0,1759.0,1901.0,4.0,1929,1905.0,-24.0,0,,0,N,87.0,75.0,62.0,1,300,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
591,591,1543881600,AA,AA_CODESHARE,AA,4872,PT,N672AE,4872,11577,ERI,"Erie, PA",14100,PHL,"Philadelphia, PA",1801,1755.0,-6.0,7.0,1802.0,1858.0,9.0,1930,1907.0,-23.0,0,,0,N,89.0,72.0,56.0,1,300,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
592,592,1576886400,DL,DL_CODESHARE,DL,3920,OO,N889AS,3920,11577,ERI,"Erie, PA",11433,DTW,"Detroit, MI",629,617.0,-12.0,9.0,626.0,700.0,6.0,750,706.0,-44.0,0,,0,N,81.0,49.0,34.0,1,164,,,,,,,,,,Erie,42.08202,-80.17622,cloudy
