fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,arr_delay,cancelled,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour,arr_hour,delayed,haul,month,season,dep_time_of_the_day,dest_code,carrier_code,unique_carrier_code,label
2018-01-17,UA,4222,EV,4222,10747,BRO,12266,IAH,79.0,76.0,0.0,78.0,75.0,52.0,1.0,308.0,0.0,0.0,0.0,0.0,76.0,15,16,1,SHORT,1,winter,afternoon,140,8,9,1
2019-01-29,DL,6011,YX,6011,10721,BOS,14492,RDU,-8.0,-11.0,0.0,137.0,134.0,111.0,1.0,612.0,0.0,0.0,0.0,0.0,0.0,13,16,0,SHORT,1,winter,afternoon,249,3,25,0
2019-09-13,AA,1120,AA,1120,10868,CAE,11298,DFW,-3.0,-26.0,0.0,164.0,141.0,124.0,1.0,922.0,0.0,0.0,0.0,0.0,0.0,7,8,0,SHORT,9,autumn,morning,77,0,1,0
2019-10-22,WN,951,WN,951,12892,LAX,12889,LAS,30.0,14.0,0.0,70.0,54.0,41.0,1.0,236.0,0.0,0.0,0.0,0.0,0.0,21,22,1,SHORT,10,autumn,evening,159,10,23,1
2018-06-09,AA,5125,OH,5125,12323,ILM,11057,CLT,76.0,63.0,0.0,73.0,60.0,40.0,1.0,185.0,0.0,0.0,0.0,0.0,63.0,17,18,1,SHORT,6,summer,afternoon,57,0,17,1
2018-06-23,AS,1917,AS,1917,12889,LAS,14771,SFO,2.0,4.0,0.0,95.0,97.0,79.0,1.0,414.0,0.0,0.0,0.0,0.0,0.0,19,21,1,SHORT,6,summer,evening,274,1,2,1
2019-11-30,DL,3754,OO,3754,11433,DTW,11577,ERI,3.0,-13.0,0.0,64.0,48.0,30.0,1.0,164.0,0.0,0.0,0.0,0.0,0.0,20,21,0,SHORT,11,autumn,evening,92,3,18,0
2019-11-08,DL,2023,DL,2023,12217,HSV,10397,ATL,7.0,-1.0,0.0,58.0,50.0,31.0,1.0,151.0,0.0,0.0,0.0,0.0,0.0,5,7,0,SHORT,11,autumn,night,16,3,7,0
2018-01-21,B6,969,B6,969,14524,RIC,13204,MCO,9.0,-17.0,0.0,129.0,103.0,89.0,1.0,667.0,0.0,0.0,0.0,0.0,0.0,11,13,0,SHORT,1,winter,morning,182,2,4,0
2019-08-29,NK,314,NK,314,12266,IAH,15304,TPA,104.0,92.0,0.0,133.0,121.0,105.0,1.0,787.0,92.0,0.0,0.0,0.0,0.0,16,19,1,SHORT,8,summer,afternoon,301,7,16,1
